    Wavelength  Flux
    microns     Jy
   12.5072   20.0197
   12.5385   20.3366
   12.5699   20.7850
   12.6013   21.3223
   12.6329   21.9253
   12.6645   22.6505
   12.6962   23.2261
   12.7280   23.6420
   12.7598   23.1386
   12.7918   22.7411
   12.8238   22.5901
   12.8559   22.7178
   12.8881   23.6570
   12.9203   23.4160
   12.9527   23.1138
   12.9851   22.6894
   13.0176   22.4733
   13.0502   22.6082
   13.0829   22.8740
   13.1156   23.2211
   13.1484   23.5472
   13.1813   23.8415
   13.2143   23.9292
   13.2474   23.9338
   13.2806   23.9422
   13.3138   24.0507
   13.3471   24.3316
   13.3806   24.7609
   13.4140   25.3008
   13.4476   25.7553
   13.4813   26.1455
   13.5150   26.4815
   13.5489   26.7518
   13.5828   27.0049
   13.6168   27.1502
   13.6509   27.2786
   13.6850   27.3995
   13.7193   27.4574
   13.7536   27.4466
   13.7881   27.3629
   13.8226   27.2932
   13.8572   27.2656
   13.8919   27.3896
   13.9266   27.6397
   13.9615   27.9243
   13.9964   28.3311
   14.0315   28.8529
   14.0666   29.5555
   14.1018   30.3175
   14.1371   30.9815
   14.1725   31.5648
   14.2080   31.9881
   14.2435   32.3716
   14.2792   32.9793
   14.3149   32.7761
   14.3508   33.5110
   14.3867   33.7072
   14.4227   33.7358
   14.4588   33.6619
   14.4950   33.5611
   14.5313   33.4949
   14.5676   33.5880
   14.6041   33.8579
   14.6407   34.3276
   14.6773   34.9386
   14.7140   35.6012
   14.7509   36.3610
   14.7878   36.9834
   14.8248   37.4113
   14.8619   37.5430
   14.8991   37.6018
   14.9364   37.8289
   14.9738   38.2487
   15.0113   38.8864
   15.0489   39.6314
   15.0865   40.4901
   15.1243   41.5708
   15.1622   42.9220
   15.2001   44.5487
   15.2382   46.1385
   15.2763   47.5529
   15.3145   48.7618
   15.3529   49.6089
   15.3913   50.1883
   15.4298   50.5134
   15.4684   50.7915
   15.5072   50.9576
   15.5460   49.8869
   15.5849   52.5758
   15.6239   53.3860
   15.6630   54.0144
   15.7022   54.7418
   15.7415   55.8173
   15.7809   57.3375
   15.8204   59.0278
   15.8600   60.5367
   15.8997   61.6288
   15.9395   62.2231
   15.9794   62.2742
   16.0194   62.0053
   16.0595   61.6808
   16.0997   61.6922
   16.1400   62.2212
   16.1804   63.4544
   16.2209   65.1275
   16.2615   66.7642
   16.3022   68.1370
   16.3430   69.1207
   16.3840   69.7408
   16.4250   70.0193
   16.4661   70.2641
   16.5073   70.6476
   16.5486   71.2485
   16.5900   72.1559
   16.6316   73.2228
   16.6732   74.1940
   16.7149   74.9685
   16.7568   75.7016
   16.7987   76.5083
   16.8408   77.4692
   16.8829   78.6080
   16.9252   80.0768
   16.9675   81.4810
   17.0100   82.7350
   17.0526   83.7637
   17.0953   84.7657
   17.1381   85.7642
   17.1810   86.9532
   17.2240   88.2882
   17.2671   89.5388
   17.3103   90.5249
   17.3536   91.5691
   17.3971   92.6596
   17.4406   93.9966
   17.4843   95.5097
   17.5281   97.1545
   17.5719   99.0411
   17.6159  101.0803
   17.6600  103.1555
   17.7042  105.2881
   17.7485  107.4429
   17.7930  109.6533
   17.8375  111.9310
   17.8821  114.1598
   17.9269  115.9559
   17.9718  117.5525
   18.0168  119.1559
   18.0619  120.8706
   18.1071  122.6761
   18.1524  124.2215
   18.1978  125.4873
   18.2434  126.3304
   18.2891  127.1702
   18.3348  128.1207
   18.3807  129.1720
   18.4267  130.4025
   18.4729  131.7696
   18.5191  133.5845
   18.5655  135.6525
   18.6119  137.8660
   18.6585  140.0795
   18.7052  142.2344
   18.7520  144.6259
   18.7990  146.8168
   18.8460  148.8074
   18.8932  150.3539
   18.9405  152.2328
   18.9879  154.2644
   19.0354  156.5128
   19.0831  158.0673
   19.1309  158.7469
   19.1787  159.0258
   19.2268  159.9585
   19.2749  162.0723
   19.3231  164.9094
   19.3715  167.9947
   19.4200  170.7780
   19.4686  173.1924
   19.5173  175.0599
   19.5662  176.4149
   19.6152  176.7718
   19.6643  176.0841
   19.7135  174.8152
   19.7628  173.2564
   19.8123  171.9776
   19.8619  171.2851
   19.9116  171.2135
   19.9614  171.5073
   20.0114  172.1824
   20.0615  173.0677
   20.1117  173.9642
   20.1621  175.1366
   20.2125  176.6048
   20.2631  178.4315
   20.3138  180.5220
   20.3647  183.1897
   20.4157  186.2715
   20.4668  189.3919
   20.5180  192.7906
   20.5694  195.7733
   20.6208  198.3987
   20.6725  200.4803
   20.7242  201.9878
   20.7761  202.9115
   20.8281  203.2595
   20.8802  203.6352
   20.9325  204.0987
   20.9849  204.9363
   21.0374  206.2304
   21.0901  207.8501
   21.1429  209.9894
   21.1958  212.3987
   21.2488  215.2890
   21.3020  218.3515
   21.3554  221.5194
   21.4088  224.4260
   21.4624  226.9386
   21.5161  229.0210
   21.5700  230.7856
   21.6240  232.6276
   21.6781  234.9883
   21.7324  237.2904
   21.7868  239.0900
   21.8413  239.9637
   21.8960  239.9301
   21.9508  239.7824
   22.0057  239.6469
   22.0608  240.7154
   22.1160  242.2049
   22.1714  244.3157
   22.2269  246.8579
   22.2825  249.7253
   22.3383  252.5103
   22.3942  254.9734
   22.4503  257.5758
   22.5065  260.2273
   22.5628  263.5119
   22.6193  267.1163
   22.6759  271.4574
   22.7327  276.0953
   22.7896  280.8067
   22.8466  285.1638
   22.9038  288.6946
   22.9611  291.7308
   23.0186  294.1506
   23.0762  296.7022
   23.1340  299.4865
   23.1919  302.4725
   23.2499  305.7734
   23.3081  309.1407
   23.3665  312.5520
   23.4250  316.1483
   23.4836  319.8938
   23.5424  323.5523
   23.6013  326.5068
   23.6604  328.4086
   23.7196  328.4347
   23.7790  326.5584
   23.8385  323.4351
   23.8982  319.7324
   23.9580  316.2644
   24.0180  313.9138
   24.0781  312.4814
   24.1384  311.4856
   24.1988  310.7472
   24.2594  310.3384
   24.3201  320.1224
   24.3810  321.5723
   24.4420  323.0816
   24.5032  323.7179
   24.5645  324.1754
   24.6260  324.4905
   24.6876  325.4205
